"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"PPT","PERPETUAL LIMITED","1964-06-24","Diversified Financials",1840350447
"PPY","PAPYRUS AUSTRALIA LIMITED","2005-04-15","Materials",26429679
"PR1","PURE RESOURCES LIMITED","2022-04-21","Materials",7687502
"PRL","PROVINCE RESOURCES LTD","1994-02-09","Materials",98443584
"PRM","PROMINENCE ENERGY LIMITED","1992-01-23","Energy",24246088
"PRN","PERENTI GLOBAL LIMITED","1994-01-06","Materials",469297943
"PRO","PROPHECY INTERNATIONAL HOLDINGS LIMITED","1998-04-22","Software & Services",67335705
"PRS","PROSPECH LIMITED.","2020-12-04","Materials",4414930
"PRT","PRT COMPANY LIMITED","1984-08-30","Media & Entertainment","N/A"
"PRU","PERSEUS MINING LIMITED","2004-09-22","Materials",2202812178
"PRX","PRODIGY GOLD NL","1986-08-21","Materials",10487297
"PSC","PROSPECT RESOURCES LIMITED","2009-12-04","Materials",406870065
"PSI","PSC INSURANCE GROUP LIMITED","2015-12-15","Insurance",1580766204
"PSL","PATERSON RESOURCES LTD","2006-10-18","Materials",8142206
"PSQ","PACIFIC SMILES GROUP LIMITED","2014-11-21","Health Care Equipment & Services",296822405
"PTB","PTB GROUP LIMITED","2006-12-18","Capital Goods",151371638
"PTG","PROPTECH GROUP LIMITED","2015-12-10","Software & Services",53541959
"PTL","PENTAL LIMITED","2000-08-29","Household & Personal Products",69888395
"PTM","PLATINUM ASSET MANAGEMENT LIMITED","2007-05-23","Diversified Financials",1067755598
"PTR","PETRATHERM LTD","2004-07-27","Materials",22250363
"PTX","PRESCIENT THERAPEUTICS LIMITED","1986-12-19","Pharmaceuticals, Biotechnology & Life Sciences",94299765
"PUA","PEAK MINERALS LIMITED","2003-07-17","Materials",12496449
"PUR","PURSUIT MINERALS LTD","2008-09-10","Materials",18910984
"PVE","PO VALLEY ENERGY LIMITED","2004-12-14","Energy",31005160
"PVL","POWERHOUSE VENTURES LIMITED","2016-10-12","Diversified Financials",10142427
"PVS","PIVOTAL SYSTEMS CORPORATION","2018-07-02","Semiconductors & Semiconductor Equipment",48625769
